"PIT_number","tag_year","tag_doy","tag_length","pred_days","pred_days_sd","pred_growth","pred_growth_sd","pred_length"
"226000800572",2017,96,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800515",2017,96,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800661",2017,96,87,17.8766171624373,1.18703234893151,10.9808784745657,0.594255860898022,97.9808784745657
"226000800602",2017,96,90,16.1259168798703,1.16359315092458,9.90549453175517,0.594926444112248,99.9054945317552
"226000879417",2017,101,82,21.2269148300913,1.23898927215029,13.0388299990538,0.593411996866863,95.0388299990538
"226000800703",2017,102,103,10.3171660104169,1.17186680803888,6.33741524656904,0.601358668296795,109.337415246569
"226000879493",2017,105,73,28.9180926867796,1.35858481436203,17.7632075814091,0.592400240356464,90.7632075814091
"226000879000",2017,105,74,27.9414756110024,1.34402024753676,17.1633114529721,0.592490180640348,91.1633114529721
"226000879299",2017,105,71,30.9749247855163,1.38855197025765,19.0266358415539,0.592233446861349,90.0266358415539
"226000879250",2017,105,87,17.8766171624373,1.18703234893151,10.9808784745657,0.594255860898022,97.9808784745657
"226000879253",2017,105,84,19.8173811481856,1.21661390500935,12.1730108160299,0.593716909768084,96.1730108160299
"226000879301",2017,105,74,27.9414756110024,1.34402024753676,17.1633114529721,0.592490180640348,91.1633114529721
"226000800514",2017,106,74,27.9414756110024,1.34402024753676,17.1633114529721,0.592490180640348,91.1633114529721
"226000800698",2017,106,77,25.2050994385402,1.30210340265013,15.4824669208399,0.592789735886709,92.4824669208399
"226000800619",2017,106,76,26.0860740460033,1.31576917080169,16.0236137729444,0.592684594325819,92.0236137729444
"226000800606",2017,106,82,21.2269148300913,1.23898927215029,13.0388299990538,0.593411996866863,95.0388299990538
"226000800663",2017,106,112,7.57316903860512,1.26520711888778,4.65188956750742,0.613711173348031,116.651889567507
"226000800622",2017,107,89,16.6895537473965,1.17060830809527,10.2517137235548,0.594685234056748,99.2517137235548
"226000800620",2017,107,70,32.0575676955614,1.40394236508955,19.6916593255011,0.592156088667017,89.6916593255011
"226000800690",2017,107,100,11.4372428149969,1.15314255846589,7.02543284864181,0.599079507006673,107.025432848642
"226000800500",2017,107,74,27.9414756110024,1.34402024753676,17.1633114529721,0.592490180640348,91.1633114529721
"226000800516",2017,107,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800722",2017,107,125,4.84522168744224,1.45442426126409,2.9762225173076,0.662447833971207,127.976222517308
"226000800529",2017,107,90,16.1259168798703,1.16359315092458,9.90549453175517,0.594926444112248,99.9054945317552
"226000800560",2017,107,76,26.0860740460033,1.31576917080169,16.0236137729444,0.592684594325819,92.0236137729444
"226000800626",2017,107,75,26.9978406866772,1.32974520506022,16.5836749180385,0.592584859524532,91.5836749180385
"226000800553",2017,107,74,27.9414756110024,1.34402024753676,17.1633114529721,0.592490180640348,91.1633114529721
"226000800702",2017,108,69,33.1780513971108,1.41959756086536,20.3799268678245,0.592082453239489,89.3799268678245
"226000800507",2017,108,84,19.8173811481856,1.21661390500935,12.1730108160299,0.593716909768084,96.1730108160299
"226000800643",2017,108,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800521",2017,108,84,19.8173811481856,1.21661390500935,12.1730108160299,0.593716909768084,96.1730108160299
"226000800583",2017,108,70,32.0575676955614,1.40394236508955,19.6916593255011,0.592156088667017,89.6916593255011
"226000800528",2017,108,72,29.928844713981,1.37343094156806,18.3840714214615,0.592314750233046,90.3840714214616
"226000800550",2017,108,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800591",2017,108,87,17.8766171624373,1.18703234893151,10.9808784745657,0.594255860898022,97.9808784745657
"226000800552",2017,109,73,28.9180926867796,1.35858481436203,17.7632075814091,0.592400240356464,90.7632075814091
"226000800646",2017,109,88,17.27289098426,1.17844668200498,10.6100340505765,0.594462414733786,98.6100340505765
"226000800670",2017,109,78,24.3538769608007,1.2887612325816,14.9595955913292,0.592900674218317,92.9595955913292
"226000800565",2017,109,73,28.9180926867796,1.35858481436203,17.7632075814091,0.592400240356464,90.7632075814091
"226000800598",2017,109,79,23.5314018287472,1.27575841979964,14.4543825864656,0.593017845374611,93.4543825864656
"226000800508",2017,109,81,21.9688429865617,1.25084858510298,13.494566274493,0.593272912849868,94.494566274493
"226000800717",2017,109,102,10.6777740412768,1.16470815131933,6.55892208580173,0.600523813178405,108.558922085802
"226000800524",2017,109,86,18.5014449210362,1.19629575365982,11.364684740727,0.594063754722044,97.364684740727
"226000800527",2017,109,90,16.1259168798703,1.16359315092458,9.90549453175517,0.594926444112248,99.9054945317552
"226000800590",2017,109,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800724",2017,109,99,11.8370000357122,1.14889704993563,7.27098744211532,0.598457593046773,106.270987442115
"226000800686",2017,109,81,21.9688429865617,1.25084858510298,13.494566274493,0.593272912849868,94.494566274493
"226000800675",2017,109,76,26.0860740460033,1.31576917080169,16.0236137729444,0.592684594325819,92.0236137729444
"226000800567",2017,109,78,24.3538769608007,1.2887612325816,14.9595955913292,0.592900674218317,92.9595955913292
"226000800651",2017,109,127,4.52348377972387,1.48762343352055,2.77859201298936,0.675932116040534,129.778592012989
"226000800502",2017,109,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
"226000800695",2017,109,80,22.7367031917435,1.26311356403516,13.9662315522097,0.593141739849424,93.9662315522097
